"","MAL13P1.116","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.301","MAL13P1.310","MAL13P1.332","MAL13P1.337","MAL13P1.343","MAL13P1.75","MAL7P1.113","MAL7P1.12","MAL7P1.126","MAL7P1.65","MAL8P1.111","MAL8P1.152","MAL8P1.18","MAL8P1.35","MAL8P1.53","MAL8P1.55","MAL8P1.8","PF07_0015","PF07_0111","PF07_0116","PF08_0126","PF10_0142","PF10_0159","PF10_0173","PF10_0195","PF10_0257","PF10_0280","PF10_0286","PF10_0321","PF10_0340","PF10_0348","PF10_0374","PF11_0064","PF11_0096","PF11_0123","PF11_0129","PF11_0141","PF11_0146","PF11_0174","PF11_0212","PF11_0241","PF11_0242","PF11_0276","PF11_0396","PF11_0404","PF11_0414","PF11_0461","PF11_0471","PF11_0506","PF13_0013","PF13_0031","PF13_0036","PF13_0088","PF13_0095","PF13_0166","PF13_0187","PF13_0209","PF14_0013","PF14_0094","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0267","PF14_0286","PF14_0292","PF14_0304","PF14_0314","PF14_0342","PF14_0346","PF14_0415","PF14_0439","PF14_0463","PF14_0545","PF14_0567","PF14_0583","PF14_0632","PF14_0695","PF14_0706","PFA0300c","PFA0430c","PFB0265c","PFB0410c","PFB0715w","PFB0820c","PFB0875c","PFC0225c","PFC0315c","PFC0375c","PFC0385c","PFC0465c","PFC0570c","PFC0610c","PFC0705c","PFC0865w","PFC0885c","PFC0960c","PFD0180c","PFD0265w","PFD0285c","PFD0295c","PFD0340c","PFD0830w","PFD1070w","PFE0335w","PFE0500c","PFE0505w","PFE1015c","PFE1430c","PFE1520c","PFE1550w","PFF0610c","PFF0625w","PFF0875w","PFF1110c","PFF1150w","PFF1395c","PFI0230c","PFI0380c","PFI0505c","PFI0585c","PFI1025w","PFI1110w","PFI1195c","PFI1265w","PFI1275w","PFI1510w","PFI1545c","PFI1580c","PFI1650w","PFI1655c","PFL0420w","PFL0450c","PFL0565w","PFL0980w","PFL1335w","PFL1400c","PFL1430c","PFL1700c","PFL1760w","PFL1815c","PFL2220w","PFL2485c","PFL2550w","D_class","Class","Compound"
"HDATP1","-0.369425147"," 0.433662985"," 0.3488807114","-0.790844282","-1.139620579"," 1.107158193"," 1.718627096","-0.15834995","-0.398552429","-0.2942671814"," 7.536174e-01"," 0.1251966947"," 0.071512537"," 1.139212618"," 0.878029032"," 0.8015780917","-1.294320797"," 0.623399883"," 0.236227111","-0.507939951"," 1.873591282"," 0.655068462","-0.493728967"," 0.614024574","-0.101155926","-0.278303885"," 0.38075516"," 0.169072803","-0.418851059"," 0.429820107","-0.27325988","-0.541688355","-0.390101180"," 1.220330e-01","-1.3269252749"," 0.360651106","-0.216315599"," 0.273273978"," 0.176559793"," 0.711923866","-0.9628359906","-0.422086428"," 0.26790637","-0.3983483926"," 0.1095109241"," 1.136223495"," 0.1538408047"," 1.045323687"," 1.1169987592"," 0.719715931","-0.3504497532"," 2.865062e-01"," 0.538160343","-0.539026698"," 1.210735953"," 0.064544012","-0.22898295","-0.80491905","-0.33663315","-0.536775362"," 0.1161476855"," 0.406985081"," 0.763805951"," 0.9807877480"," 0.158688950","-1.399697051"," 0.526905790"," 0.5774690671","-0.145376339"," 0.257757441"," 2.381019e-01"," 0.4994581135"," 0.0465093359","-1.009464042"," 0.071886460","-0.4850207992","-0.547248106"," 1.171804065","-0.112050426","-1.2175589521","-0.130859701"," 0.38905506","-0.342773087"," 0.436380435"," 1.665788811","-0.718537257"," 0.613968367"," 0.089850780"," 0.510303845","-0.492029462"," 6.231837e-01"," 0.5327666652","-1.231930337","-0.7472521169","-1.469760319"," 0.5701598039","-0.9635625903"," 0.451216537"," 2.201144844"," 0.768367678"," 1.036978877"," 0.915885348"," 0.0001286056","-0.6285089222","-0.082516906"," 1.161525903","-0.16604936"," 0.369951070","-0.5164123881"," 0.405464436","-0.5505887315"," 0.854476943"," 0.421287318","-1.359352251","-0.978750123","-0.846983438"," 1.067880392"," 0.330104665","-0.307949883"," 0.3563599044"," 0.1532043982"," 0.421092401","-0.913294612"," 0.434604368","-0.8386828848","-0.4015305200","-0.5103234461"," 0.188007901","-0.626075720"," 0.5329728634"," 0.4220835061","-0.734276034"," 1.159465049","-0.62450539"," 0.424406958"," 0.241870290"," 0.70900525","-1.0244501027","-0.678030469","-0.12079281"," 0.5517402881"," 0.241152624","-0.225023188","-0.702856086"," 0.2356662847","-0.246266341"," 0.539638795"," 0.190533690","-0.1255517648"," 0.307141304",1,1,"HDA"
"HDATP1.1"," 0.248242100"," 0.280499154"," 0.4090742256","-0.815856326"," 0.295019713"," 0.667054633"," 0.935918918","-0.32932936"," 0.032303335","-0.0738032400"," 3.075115e-01"," 0.0042550097"," 0.040867831"," 0.226883580","-0.041843020"," 0.1210241534"," 0.073165267"," 0.017945974"," 0.106829962"," 0.022605349"," 0.077927652"," 0.208065379","-0.493687043","-0.008638789","-0.376575406","-0.139930990"," 0.18827099"," 0.192199213"," 0.022789596","-0.770610893"," 0.24318347"," 0.059730698"," 0.396992774","-3.318311e-01","-0.2468656421","-0.192086718","-0.379073329","-0.060803761"," 0.144487126"," 0.373300383","-0.7298508519","-0.122540038","-0.21055151","-0.2975239953"," 0.3073016218"," 0.755080118","-0.2139358620"," 0.236921855"," 0.0868452903"," 0.528666199"," 0.2633639528","-1.808552e-01"," 0.114435951","-0.130742246"," 0.538237896","-0.364219103"," 0.56908025","-0.10213417","-0.13343665","-0.037786226","-0.2174980426"," 0.671333172"," 0.191925887"," 0.3202264914","-0.137719569","-0.602875542"," 0.187788678","-0.4240726251"," 0.255663734"," 0.214130045","-3.281362e-01","-0.4573765419"," 0.2448283295","-0.735702995"," 0.029705952","-0.7338668720"," 0.418906072"," 0.432604536"," 0.050126045","-0.5049293041"," 0.006469673"," 0.10976776","-0.101946860"," 0.080941875"," 1.650863408"," 0.015464641"," 0.463856459"," 0.151892780"," 0.045328752","-0.273339117"," 2.994854e-01"," 0.5922613926","-1.177058863"," 0.0141797468","-0.173469224","-0.0382859892","-0.4654646871"," 0.230185635"," 0.625513573"," 0.350653568","-0.089364584","-0.210865612"," 0.0406545662"," 0.0895316116"," 0.263967231"," 0.376290776","-0.25305126"," 1.092012856","-0.2457244090"," 0.071190689","-0.1391753910"," 0.521365575"," 0.252605916","-0.816913548","-0.432274549"," 0.647195595"," 0.371907090"," 0.001531456","-0.035269730"," 0.4983639547","-0.9283226446","-0.415638803"," 0.088566534"," 0.136566051","-0.3129647537","-0.0755821517"," 0.1253230584"," 0.226038408","-0.230779581"," 0.4813580923"," 0.4162430671","-0.238714146"," 0.281141147"," 0.22805547"," 0.124426896","-0.249214223"," 0.21986977","-0.2583948061"," 0.097991973","-0.08220163"," 0.3435997486"," 0.003348436","-0.164389321","-1.023449009"," 0.0468852931","-0.040834378"," 0.190073438","-0.346515012","-0.2802711407"," 0.715489830",1,1,"HDA"
"HDATP2","-0.369831157"," 0.048089475"," 0.3565912739","-1.219750052","-0.767490616"," 1.129109814"," 2.141281099","-0.48525073","-0.287942637"," 0.1017533169"," 5.727544e-01"," 0.0967561441","-0.158772757"," 0.755371917"," 0.811666031"," 0.3904131952","-1.575046295"," 0.669886035"," 0.184512462","-0.269610247"," 1.421294024"," 0.341250808","-0.872018439"," 1.321221462","-0.694468850","-0.178627302","-0.17330418"," 0.137661645","-0.799986266"," 0.101495309"," 0.28660764","-0.766844974","-0.248007055"," 1.212860e-01","-1.1083098577"," 0.336350326"," 0.346219989","-0.127357517"," 0.059123962"," 0.549503381","-0.6911761995","-0.029493396"," 0.47681173","-0.3890496403"," 0.4604329171"," 1.342715044"," 0.0356745885"," 0.414070273"," 0.7937472342"," 0.782826090"," 0.2250068378"," 2.567236e-01","-0.119637598","-0.440431424"," 1.314565260"," 0.063271279"," 0.23523380","-0.08537403","-0.50768588","-0.333027872"," 0.0632489365"," 0.091170645"," 0.235312711"," 0.8284510501","-0.304585734","-1.646661652"," 0.135690031"," 0.6843744292"," 0.186544465"," 0.238554469","-3.252663e-01"," 0.3808078863","-0.6711638511","-1.148351491","-0.286817434","-0.4491593897"," 0.004374309"," 1.227284430","-0.338142396"," 0.0213851102"," 0.693714028"," 0.20974110","-0.037354383","-0.188118147"," 1.896721069","-0.004840038","-0.010116251","-0.150766072"," 0.247078897","-0.669253565"," 4.728288e-02"," 0.7380878451","-1.607769259","-0.3153064259","-1.793121727"," 0.0882691046","-1.0697094626"," 0.148861796"," 2.329332163"," 0.523193337"," 0.504957022"," 0.353734514"," 0.0786063724","-0.8572403851","-0.371519065"," 1.276324525","-0.24177432"," 0.072954327"," 0.1885108877","-0.144224250","-0.6340591284"," 0.764347877"," 0.408279115","-1.545398420","-0.887294110"," 0.125272616"," 1.610587135","-0.027247997","-0.455748822"," 0.3361640448"," 0.0190243261"," 0.100165532","-1.265515370"," 0.053730110"," 0.0718419566","-0.5511060476","-0.5219565042"," 0.494124075","-0.382813789"," 0.0749200415"," 0.4642023219","-0.986679376"," 0.980051256","-0.68324969"," 0.158916084","-0.101631776"," 0.86845460","-1.2526603125","-1.254125868"," 0.22361985"," 0.2419656299"," 0.069447984","-0.328616976","-1.319746391"," 0.3258155093","-0.091310854"," 0.119704714"," 0.488355520","-0.0751156651"," 0.508544101",1,1,"HDA"
"HDATP2.2"," 0.173374545"," 0.140786520"," 0.0661039966","-0.386898626"," 0.266236270"," 0.350090002"," 0.409021370","-0.13685794","-0.052487962","-0.1693179290","-1.747328e-01"," 0.0602859613"," 0.063250871"," 0.095373396"," 0.071093389"," 0.0458924118"," 0.414698410"," 0.179609576"," 0.086491592"," 0.092344466","-0.423625095"," 0.012410092"," 0.206878757","-0.225524817"," 0.033270311","-0.023856034"," 0.61527112"," 0.028112627"," 0.612561227","-0.372508871","-0.31762475"," 0.340848823"," 0.064008282","-5.010428e-01","-0.1670318245","-0.583802270","-0.676980084"," 0.100072420"," 0.012733323"," 0.147232179","-0.5911227177","-0.358242623","-0.45391147","-0.3409946139"," 0.3371606732"," 0.339455379"," 0.1485152109"," 0.417745916","-0.0240445803"," 0.083879480","-0.0662905301","-2.441114e-01"," 0.206593896","-0.034876403"," 0.136285116","-0.486650090"," 0.23115379"," 0.01037766"," 0.01483355","-0.020846594","-0.2842449172"," 0.713698661"," 0.050308660"," 0.2548954738","-0.218746331","-0.251464201"," 0.008764768","-0.7347742183","-0.209012047"," 0.135254407"," 4.256218e-05","-0.2362397465"," 0.3759747952","-0.476709373"," 0.482242546","-0.3924828938"," 0.009751450"," 0.181993762"," 0.200861013","-0.8157296305","-0.377565069","-0.12525513","-0.106897981"," 0.135721348"," 1.347173715","-0.517242515"," 0.362664113"," 0.172674222"," 0.192107777"," 0.349134007"," 7.121495e-02"," 0.1088721474","-0.602576521"," 0.0007907434"," 0.114707604"," 0.1169179684","-0.3648477201"," 0.136047312"," 0.368181964","-0.031420552","-0.072660361"," 0.065117021"," 0.1220187232"," 0.0949071897"," 0.389001764","-0.041340078","-0.15851021"," 0.791638722","-0.2875640583"," 0.114090593","-0.0184529546"," 0.353370302"," 0.113878446"," 0.084178262","-0.314229051"," 0.620720531","-0.121870896"," 0.088294448"," 0.145198178"," 0.3986275880","-0.2678381997","-0.308264460"," 0.401338399"," 0.120307281","-0.2298947706","-0.0547100200"," 0.1871351255"," 0.046521481","-0.152798202"," 0.3081435798"," 0.3508817713","-0.018766781"," 0.087651359"," 0.22928594"," 0.458474418","-0.127594968","-0.02335419","-0.1833118205"," 0.288439750","-0.19602750"," 0.3538890494","-0.135841851","-0.116022712","-0.549905647","-0.0087518980"," 0.056995492"," 0.362446880","-0.488961601"," 0.0259383260"," 0.480556884",1,1,"HDA"
"HDATP3"," 0.070195425"," 0.138395010","-0.0671853727","-0.580372452","-0.073853254"," 0.180906952"," 0.848159880"," 0.13443833","-0.111007481","-0.4012180389","-1.340551e-01"," 0.1351907527"," 0.259544118"," 0.581533616","-0.024466206"," 0.1217695911"," 0.098965784"," 0.338126659"," 0.515527446"," 0.011999543"," 0.097904317","-0.145806107","-0.070159193"," 0.105933202"," 0.049212011"," 0.045738043"," 0.12562379","-0.031856503"," 0.726411962","-0.139173848","-0.53451512","-0.213382311","-0.180040072","-3.263024e-01"," 0.3317489780"," 0.299636637"," 0.170052795"," 0.112873083"," 0.138253677"," 0.150321061","-0.2265491503"," 0.013961180","-0.04019375"," 0.0383991628"," 0.1060535989"," 0.147801580"," 0.0423042876"," 0.053970745","-0.0146226823","-0.061315606"," 0.2224139923"," 5.854469e-02","-0.371020886"," 0.351709613"," 0.419184241","-0.109171885"," 0.07463042"," 0.39657541","-0.15391190","-0.075154929","-0.4431497469"," 0.690858245"," 0.259251966"," 0.2230350693","-0.310068282","-0.507161734"," 0.297678728","-0.0729155267","-0.273018637"," 0.338351199","-6.576253e-02","-0.3653221428"," 0.0547225582","-0.395140442"," 0.183424380"," 0.0864513226","-0.158279601"," 0.555750233"," 0.045599188","-0.7507641049"," 0.168959966","-0.30141954","-0.137213031"," 0.067319673"," 1.174461128","-0.209786145"," 0.102950371"," 0.107623949"," 0.047810837"," 0.125187066"," 1.558016e-01","-0.0167136800","-0.510745963","-0.1109695182","-0.111828583","-0.0690383596","-0.3261138874","-0.029996732"," 0.069738772"," 0.034349367"," 0.023311842"," 0.407237323","-0.1442935090","-0.1931155042"," 0.212146393"," 0.183091979"," 0.62530425"," 0.544484156","-0.1269404194"," 0.237679699","-0.2411587075"," 0.394381276"," 0.524738572","-0.283489490","-0.328286785"," 0.168779637"," 0.493674377","-0.147470106","-0.323430013"," 0.3114165011","-0.2088068022","-0.167358371"," 0.244727360"," 0.273685409","-0.3314004948","-0.1676935594"," 0.0623970213","-0.158452496"," 0.106480783"," 0.3273211267"," 0.2975265384","-0.197854700","-0.180383271"," 0.32368521"," 0.088732827"," 0.014154771"," 0.33982119","-0.0608604208"," 0.202511741","-0.33714572"," 0.4458053759","-0.070503358","-0.404097024","-0.090361786"," 0.1573935120"," 0.035316665"," 0.513769332","-0.281148008"," 0.2333373606"," 0.640146469",1,1,"HDA"
"HDATP3.3"," 0.027192767","-0.054201196"," 0.1294091112","-0.735140062"," 0.256021011"," 0.097125930"," 0.472855502"," 0.12761413"," 0.078808483","-0.5030665913","-1.897297e-01"," 0.1952664921","-0.101303239"," 0.004969205"," 0.125744497"," 0.2073677749"," 0.120177914","-0.119810742"," 0.262072094"," 0.075286479","-0.126001088"," 0.115221762","-0.244024426","-0.031209313","-0.071860198"," 0.100085912"," 0.41250151"," 0.150650871"," 0.287490097","-0.162750842","-0.41418401"," 0.088968195"," 0.017066044","-2.882950e-01","-0.3070908697"," 0.235180556","-0.315169942"," 0.442767557"," 0.090589251"," 0.130298438","-0.4441794463","-0.164897282","-0.15214117","-0.0135178369"," 0.1146900999"," 0.171637745","-0.0787969064"," 0.443242724","-0.0883809050"," 0.339716691"," 0.1709881122","-2.633426e-02","-0.140019105"," 0.104365619"," 0.454808725","-0.328912527"," 0.16746754"," 0.05478049","-0.13687924","-0.413674718","-0.1270853600"," 0.793506790"," 0.326881101"," 0.0215894524","-0.291774854","-0.510505040"," 0.075106165","-0.0970430449"," 0.235053654","-0.102241918","-1.749299e-01","-0.2327408181"," 0.1635036608","-0.736260646"," 0.213597105","-0.2721755325","-0.022116986"," 0.239876837"," 0.008401550","-0.3452539794","-0.262584686","-0.45382323","-0.128291442"," 0.089951581"," 1.447153381","-0.249155471"," 0.180656612"," 0.236257688"," 0.154251997","-0.019922166"," 1.738743e-01"," 0.0092970540","-0.564067070","-0.0909959737"," 0.007083550"," 0.0446706347","-0.3878519149","-0.032943202"," 0.112420626"," 0.112603779","-0.149280788","-0.115858651","-0.0470686137","-0.1537838643"," 0.087998642"," 0.342863752","-0.19850019"," 0.846664059","-0.0124618884"," 0.103117628","-0.2593487120"," 0.227467880"," 0.491826588","-0.072721794","-0.079159750"," 0.404829384","-0.033594829","-0.072106864","-0.039551453"," 0.1975745634","-0.3738765873","-0.177457330"," 0.267741221"," 0.324309814","-0.2110353164","-0.5763051789"," 0.1591844880"," 0.574402837","-0.027594224"," 0.4285378214"," 0.4434437758","-0.076786613"," 0.141811800"," 0.13321318"," 0.186669420","-0.090566873"," 0.31654255","-0.0790647421"," 0.389517266","-0.26372945"," 0.3914518666"," 0.044976474","-0.244824665","-0.335245009"," 0.1868725335"," 0.030909211"," 0.231472004","-0.580583351"," 0.0560867435"," 0.635594230",1,1,"HDA"
"ACTTP1"," 0.275853226"," 0.202264094","-0.7099078795"," 0.141642628"," 0.099714810"," 0.167936757","-0.466147827"," 0.10907376","-0.503006233","-0.1096847250"," 2.911818e-01"," 0.0449524703"," 0.382935333","-0.567098714"," 0.228782319","-0.0544539277"," 0.483226380"," 0.586934832"," 0.117399931"," 0.090494364","-0.137929408"," 0.086189631"," 0.324067924","-0.426065820"," 0.063768855"," 0.003673133"," 0.36016415","-0.832908833","-0.154257281","-0.039564168","-0.14098622","-0.087230802"," 0.334866878"," 2.559556e-01","-0.2081828050"," 0.193954445","-0.391877034"," 0.727885634"," 0.190709370","-0.012561873","-0.3922772003","-0.910055648","-0.06366735"," 0.0199651504"," 0.1829430268"," 0.159246438","-0.2667900881"," 0.091843058"," 0.2113066637","-0.124141712"," 0.3916155566","-6.456441e-02"," 0.331139947"," 0.010451388","-0.163339067","-0.169511868","-0.62551562"," 0.24425936"," 0.22044390","-0.367132740","-0.4673910221"," 0.553614694","-0.143659936","-0.0403349584","-0.112394787","-0.156843561","-0.173267232"," 0.0157864428"," 0.083821434","-0.250573794"," 8.239979e-02"," 0.3442600309","-0.0041231638"," 0.498939632"," 0.311335181"," 0.1889175542","-0.576040370"," 0.313972623"," 0.008594943","-0.4495598968","-0.634329969","-0.26304184","-0.290724993"," 0.443984220"," 0.056870534","-0.677708329"," 0.408632402"," 0.213166811"," 0.047880709"," 0.143966744"," 2.441397e-01","-0.0673906039"," 0.097629059","-0.7725467582","-0.211725982"," 0.0101054177"," 0.2879864778"," 0.064119747","-0.349673356"," 0.160489905"," 0.576599150"," 0.346979140","-0.2959197485","-0.0506879120"," 0.128392314"," 0.162906905"," 0.07428828"," 0.551027084","-0.0198107316"," 0.209131427"," 0.1811834055"," 0.293736956"," 0.364365272","-0.045714164","-0.294534449","-0.333748340","-0.632024009"," 0.371603352","-0.092415086","-0.2977171072","-0.0617934358"," 0.803219664"," 0.072809238","-0.041448265","-0.4511698847","-0.3169634162"," 0.3179814955","-0.082592599"," 0.180495068"," 0.3692617719"," 0.2199973279"," 0.025792196"," 0.013738286"," 0.37543671"," 0.166795968","-0.264490045"," 0.26426550","-0.0041316499"," 0.236273071"," 0.33704446"," 0.3704789272"," 0.602575191"," 0.007885597","-0.383009899"," 0.0443491835","-0.075713536"," 0.461946325","-0.475915852","-0.1065191181"," 0.043755415",2,2,"ACTd"
"ACTTP2"," 0.108125587","-0.516225196","-0.1854794858","-0.550277612","-0.331436344"," 0.364654870"," 0.175278156"," 0.20753825"," 0.212602971"," 0.0025347750"," 9.381865e-01","-0.3063943172"," 0.124055034","-0.472476824","-0.336342029"," 0.6853067299"," 0.235431171"," 0.579011135","-0.083317837","-0.162662785"," 0.388084453"," 0.209745607"," 0.345709852","-0.830828943"," 0.040893787"," 0.119321070","-0.89960126"," 0.257352318"," 0.421155908","-0.151477911"," 1.49926558"," 0.089338093"," 0.304380160"," 5.862699e-01","-0.1640218718"," 0.196059729","-0.928445362"," 0.587505883","-0.156393257"," 0.364045890","-0.4810942075","-0.648694966"," 0.75621487"," 0.0337899577"," 5.7582874547"," 0.342078598"," 0.1899025226"," 1.124838201"," 0.2838746875"," 0.084502714"," 0.2695693708"," 2.301977e-01"," 0.136275364","-0.011099007"," 0.267855394","-0.163553759","-1.13375551","-0.10529164"," 0.53431679","-0.525286096"," 0.1860253836","-0.432586904","-0.126939640"," 0.0981560432","-0.119101436"," 0.359575539"," 0.141919772","-0.5948214967","-0.452724944"," 0.327042342"," 1.123479e-01"," 0.0112342801"," 0.3575369608"," 0.476425421","-0.470634193"," 0.0351015128","-0.165376224","-0.416872064","-0.376910148","-0.7837252274","-0.837307680"," 0.54900235","-0.460633959"," 0.065941272"," 0.249159580","-0.875567998"," 0.318692310"," 0.166578665"," 0.923372937","-0.060227536"," 1.770741e-01"," 0.0768358580","-0.035788477"," 1.0891951836"," 0.250690387"," 0.3432463512"," 0.2878969386"," 0.671838614"," 0.389031880","-0.348075476"," 0.134354871","-0.107601058","-0.4457109033"," 0.0247490187","-0.060706191"," 0.154950563","-0.15235876","-0.431254357","-0.1325248247","-0.332625131"," 0.8859216650"," 0.127270872","-0.476264906","-0.588891387"," 0.287129277","-0.172080748","-0.061763291","-0.462228489","-0.554896659","-0.1599634264"," 0.1634825422"," 0.127128356"," 0.305808338"," 0.146442276"," 0.1543619541","-1.2808896899"," 0.2829063031"," 0.228184327"," 0.113452890"," 0.3557943399"," 0.1853392830"," 0.401947704"," 0.412727110","-0.61167966"," 0.325087233"," 0.240544173"," 0.31628864","-0.0847595591"," 0.254680235"," 0.46319767"," 0.2917871906"," 0.232389894"," 0.006046883","-0.195323886","-0.5256038830","-0.351593564","-0.077739651","-0.352742603"," 0.2507461935"," 0.076692478",2,2,"ACTd"
"ACTTP3"," 0.447086661","-0.427260943"," 0.3763040546","-0.377034031","-0.030341147"," 0.248250672","-0.520500803","-0.70672566"," 0.031073090"," 0.6234345161"," 6.128406e-01","-0.3784516732"," 0.294120634","-0.341272825"," 0.569749302"," 0.4164014069"," 0.411968450"," 0.588724150","-0.304813057","-0.481124063"," 0.623071836"," 0.807725041","-0.045003534","-0.571061766"," 0.360540963","-0.001960891"," 0.11175960","-0.512940893","-0.013682061"," 0.406791679"," 0.30695990","-0.174812928"," 0.440726103"," 4.773390e-01","-0.4892364302"," 0.044743722","-0.544416069"," 0.441060698","-0.124786598","-0.237067552","-1.7392558353","-0.541133627"," 0.54257701","-0.1889128543","-0.1432131417"," 1.037141216","-0.0250411652"," 0.077163813"," 0.2254049002"," 0.200094252","-0.0994561134"," 5.073681e-01"," 0.898991544","-0.225243636"," 0.183546617"," 0.137945272","-0.76771823"," 0.08971356"," 0.26765395","-0.176790522"," 0.2022201216","-0.397431997"," 0.242731216","-0.1962913879"," 0.027794428","-0.231744773"," 0.205829381"," 0.0261267177","-0.381319059"," 0.330910474"," 5.308760e-01"," 0.6946010109","-0.1753837963","-0.059317957"," 0.370363734","-0.3728793939","-0.632450175","-0.943130369"," 0.030755365","-1.9745556839","-0.760770119","-0.26024827","-0.807403266"," 0.816014243"," 1.394435389","-0.476866021"," 0.663982850"," 0.211299781"," 0.025777469"," 0.190423149"," 2.986214e-01"," 0.3966492951","-0.390618963","-0.0880857799"," 0.221261188"," 0.3550608678","-0.0155813871","-0.096362660"," 0.887297311","-0.339871185"," 0.014839656"," 0.614331728"," 0.2346743051"," 0.2778071237"," 0.147470459"," 1.292150495"," 0.38042834","-0.443088927"," 0.0822259008"," 0.156267494"," 0.4156185956"," 0.143037183"," 0.064744541","-0.198584082","-0.733986812","-0.831494259","-0.155076931","-0.045344622"," 0.102811874","-0.1839630876","-0.0925613662"," 0.045918073","-0.379710261"," 0.241518321","-0.5773946950"," 0.1384343367"," 0.2607898244"," 0.006530023"," 0.343240992"," 0.5392567009"," 0.5950542777"," 0.181673123"," 0.649375655","-0.49044196"," 0.215742456"," 0.432691333","-0.67222451","-0.3789037965"," 0.119124208"," 0.80999145","-0.1206258041"," 0.133131972"," 0.134806960"," 0.322481068","-0.1724754654"," 0.043761859"," 0.440850715","-0.451270862","-0.1199714786","-0.174515690",2,2,"ACTd"
"ACTTP4","-0.282391553"," 0.061328012"," 0.1033760008","-0.206514574","-0.436293317","-0.061714258","-0.239238477","-0.37270189"," 0.245118364"," 0.8170240568"," 8.890665e-01","-0.0467758616"," 0.429996860","-0.224430693"," 1.070317279"," 0.9557923422"," 0.300216628"," 0.427305191","-0.324789503","-0.317715455"," 0.983558223"," 0.336454118"," 0.229266501","-0.805346272"," 0.654516660","-0.390857919"," 0.58013421","-0.641816978"," 0.418043234"," 0.570326384"," 0.05287916","-0.494562040"," 0.198082830"," 8.500194e-01"," 0.2192756281"," 0.023136419","-0.630080175"," 0.178792155","-0.195787277","-0.354381433","-0.6718269329","-0.925953181","-0.13612195","-0.5232945404","-1.3723567160"," 0.494083836","-0.3483381201","-0.002367864"," 0.5533655986","-0.534412950","-0.8515132094"," 6.916912e-01"," 1.009208139","-0.341691248"," 0.053190071","-0.605724151","-0.91989385","-0.11671821"," 0.03938393"," 0.038980842"," 0.1626769420","-0.831896828"," 0.566646000"," 0.0004860545"," 0.679850440","-0.337279390"," 0.351575202","-0.1100961750","-0.298160655"," 0.318559768"," 6.690681e-01"," 0.4716559806"," 0.0599555105"," 0.409544551"," 0.098115057","-0.3540231363","-1.367706516","-1.101377486"," 0.031207843","-1.0616614725","-1.198638358","-0.04047178","-0.236284050"," 0.499691101"," 2.049598130","-0.557723862"," 0.737625979","-0.321647882","-0.166900806"," 0.095316606"," 2.676814e-01"," 0.3780130819"," 0.049533342"," 0.0918431850","-0.154242665"," 0.1950909805"," 0.1407048307"," 0.598535925"," 1.670884612","-0.245865609"," 0.223769079"," 0.823804100"," 0.3940303423"," 0.5493611198"," 0.173146260"," 1.336305861","-1.38743237"," 0.227858762","-0.2868720158"," 0.479614635","-0.8398007855","-0.091399829","-0.326724955","-0.374118545","-0.685603844","-0.893171067","-0.033444250","-0.403076390"," 0.945221954","-0.9761859059"," 0.1552201945"," 0.068443434","-0.174456438"," 0.332532569"," 0.2407518912"," 0.4726036638","-0.1655500869","-0.070836964","-0.776499744"," 0.2937995708"," 0.7787829730"," 0.060869946"," 0.471242733"," 0.37318883"," 0.226389489"," 0.474253115","-0.69267866","-0.4955380093"," 0.247645316","-0.13555543","-0.1164159106","-0.254663445"," 0.162380639"," 0.832970303","-1.1288177862","-0.027405393"," 0.791864713","-1.117696451"," 0.3992742756"," 0.328276399",2,2,"ACTd"
