"","variable","relative_importance","scaled_importance","percentage"
"1","PF10_0374",0.509001678341337,1,0.0112409876680123
"2","PF10_0215",0.42207345917419,0.829218207196455,0.00932123164118657
"3","PFF0875w",0.390202053709521,0.766602685832111,0.00861737133770382
"4","PF14_0512",0.349927327493159,0.687477747879836,0.00772792888595007
"5","PFL1240c",0.341779182683783,0.671469657619843,0.00754798214074906
"6","PF14_0642",0.332423035466658,0.653088289511955,0.0073413574085271
"7","PFF1580c",0.319260545199936,0.627228865414152,0.0070506719411418
"8","PF10_0321",0.3187517535655,0.626229278072723,0.0070394355921637
"9","PFL1125w",0.301268754022441,0.591881651557954,0.00665333434608568
"10","PFC0090w",0.299877999369449,0.589149333154753,0.00662262038861022
"11","PF13_0081",0.294659539114389,0.578896989248806,0.00650737391719524
"12","PFD0625c",0.264674899201785,0.519988264212154,0.00584518166551992
"13","PFB0530c",0.254791835099676,0.500571699350689,0.00562692029935703
"14","PF07_0049",0.251231552257164,0.493577060641218,0.00554829365188167
"15","PFI1770w",0.227413811416477,0.44678401092417,0.00502229355706365
"16","PFB0655c",0.224482831838709,0.441025720328118,0.00495756468348459
"17","PF14_0598",0.217327573126615,0.426968283945176,0.00479954521446007
"18","PFC0960c",0.21108319699271,0.414700394860304,0.00466164202454449
"19","PFB0161c",0.20663980305962,0.405970769552251,0.0045635124141103
"20","PFL2235w",0.205782358735128,0.404286208653973,0.00454457628582673
"21","PFC0885c",0.200705637360794,0.394312329214366,0.00443246003004387
"22","PF10_0142",0.199621283936488,0.392181975876751,0.00440851275444724
"23","MAL7P1.137",0.194385574902869,0.381895744501875,0.00429288535441194
"24","PFF0610c",0.193942164728436,0.38102460754241,0.00428309291459344
"25","MAL13P1.301",0.193497646112226,0.380151292904905,0.00427327599552295
"26","PF11_0276",0.190391579094067,0.374049020259596,0.00420468042397018
"27","PFF0940c",0.189276782251051,0.371858856866326,0.0041800608242755
"28","PF11_0527",0.180660194349377,0.354930449223836,0.00398976880272718
"29","PFF1315w",0.176454826032348,0.346668456197147,0.00389689584100097
"30","PF14_0507",0.174923925624772,0.34366080323112,0.0038630868511002
"31","PF14_0139",0.174243843220833,0.342324692894205,0.00384806765127984
"32","MAL8P1.55",0.172920538952111,0.339724889543783,0.00381884329387849
"33","PFL1815c",0.170604289788291,0.335174316800354,0.00376769036178721
"34","PFL0175c",0.169753195173244,0.33350223073215,0.00374889446291467
"35","PF14_0062",0.159989873257066,0.314320914969119,0.00353327752896619
"36","PFF1150w",0.158805754260651,0.311994559189166,0.00350712699233233
"37","PF11_0471",0.158472023205104,0.311338901124079,0.00349975674810826
"38","PFF0200c",0.158002443927555,0.310416351557879,0.00348938637981147
"39","PF14_0238",0.154881235396195,0.304284331440517,0.00342045641729221
"40","PF13_0107",0.154192019713805,0.302930277590173,0.00340523551465866
"41","PF11_0354",0.153966477001708,0.302487169597225,0.00340025454317433
"42","PFL0585w",0.150613985124433,0.295900763265128,0.00332621683081872
"43","PF11_0396",0.14992283789258,0.294542914634638,0.00331095327110835
"44","PFE1320w",0.145711061054041,0.286268331233924,0.00321793878114298
"45","PF14_0736",0.144420673758535,0.283733197558705,0.00318944137476309
"46","PFE0830c",0.138169410550792,0.271451777921517,0.00305138608807577
"47","PFI1020c",0.137350069938158,0.269842076721112,0.00303329145673284
"48","MAL7P1.18",0.137081449965033,0.269314337846065,0.0030273591505465
"49","PFB0745w",0.134038232396198,0.263335541118416,0.00296015157026145
"50","PFI1580c",0.133592047759286,0.262458953366553,0.00295029785815282
"51","PF14_0719",0.133422258156556,0.26212537960844,0.0029465481596515
"52","PF14_0013",0.130965366631341,0.257298496653513,0.00289228922788023
"53","PF13_0120",0.129366802656805,0.254157909809585,0.00285698592989732
"54","PF11_0146",0.128552901731398,0.252558895582247,0.00283901143068683
"55","PF08_0054",0.12624102669583,0.248016916382686,0.00278795509851619
"56","MAL7P1.122",0.125519699892827,0.246599776059389,0.00277202504161818
"57","PF11_0141",0.125036370585404,0.245650212771115,0.00276135101240469
"58","PF07_0125",0.124239853499984,0.244085351358446,0.00274376042456273
"59","PF11_0184",0.123747261626132,0.243117590553694,0.00273288183729092
"60","PFI0915w",0.123046038158383,0.241739945847228,0.00271739575013464
"61","PFE1520c",0.12280363890283,0.241263720982228,0.00271204251229997
"62","PF13_0131",0.122659110521962,0.240979776180044,0.00270885069228022
"63","PF08_0057",0.121789831027904,0.239271963551821,0.00268965319158709
"64","PFF1370w",0.119804125490571,0.235370786754519,0.00264580011131789
"65","PF14_0519",0.118918184670187,0.233630240783686,0.00262623465552415
"66","PF14_0041",0.118159841328127,0.232140376654886,0.00260948711122529
"67","PF11_0170",0.117713633013477,0.231263742385026,0.00259963287620844
"68","PF14_0133",0.114779779734801,0.225499806029774,0.00253484053871985
"69","PF10_0060",0.11320935865155,0.222414509556158,0.00250015875910777
"70","MAL13P1.82",0.113191267580343,0.222378967293772,0.00249975922897458
"71","PFI1175c",0.111240849480981,0.218547117257996,0.00245668544997676
"72","PFI1410c",0.106307171620816,0.208854265406815,0.00234772822184977
"73","PFD1050w",0.102889870334223,0.20214053256073,0.00227225923372059
"74","PFE0285c",0.100142008236338,0.196742000070936,0.00221157439657746
"75","PF11_0108",0.0999309918594502,0.196327430952863,0.00220691423023366
"76","PF14_0021",0.0990003876883939,0.194499138020532,0.00218636241192781
"77","PF11_0210",0.0989817720664823,0.19446256521006,0.00218595129741631
"78","MAL8P1.4",0.0973418432925367,0.191240711837612,0.00214973448338848
"79","PF10_0309",0.0961403939870625,0.18888030841146,0.00212320121758357
"80","PF11_0129",0.0950298667383815,0.186698533191583,0.00209867590924256
"81","PFD0400w",0.0949787846208611,0.186598175727759,0.00209754779222932
"82","MAL13P1.127",0.0910820505951335,0.178942534908606,0.00201149082819049
"83","PF14_0644",0.0904859045319873,0.177771328430291,0.00199832531061106
"84","PF14_0454",0.0850981315115559,0.167186347575241,0.0018793396713533
"85","PF10_0182",0.0830107621561598,0.163085438984531,0.00183324140845747
"86","PFF0625w",0.0815410920619728,0.160198080933028,0.0018007846522074
"87","PF10_0203",0.0812963106914098,0.159717176093263,0.00179537880683411
"88","MAL8P1.65",0.0792200196136267,0.155638032219811,0.00174952520085658
"89","PF14_0117",0.0791344820507566,0.155469982552177,0.0017476361566151
"90","PF13_0166",0.0788420572584262,0.154895476013646,0.00174117813570028
"91","PFL2230c",0.0783152185932803,0.153860432933115,0.00172954322919617
"92","PFC0925w",0.0769403778790015,0.15115937953235,0.00169918072122753
"93","PFC0455w",0.07396613054988,0.145316083811178,0.00163349630608529
"94","PF14_0249",0.0738007950012914,0.144991260621739,0.00162984497261852
"95","PFE1000c",0.0730821465443133,0.143579382257566,0.00161397406533811
"96","PF14_0461",0.0729390537576951,0.143298257867005,0.00161081394953064
"97","PFE0585c",0.0723397999686956,0.142120945857048,0.00159757979974531
"98","PF13_0073",0.072300425187292,0.142043588977731,0.00159671023201887
"99","PFE0810c",0.0722878027361781,0.142018790530788,0.00159643147298261
"100","PFC0390w",0.0717071615612259,0.140878045421962,0.00158360837128195
"101","PF14_0123",0.0705704850467898,0.138644896568426,0.00155850557255851
"102","PF13_0036",0.0700395612221473,0.137601827660731,0.00154678044783022
"103","MAL13P1.183",0.0697784735125423,0.137088886897046,0.00154101448703122
"104","PF14_0368",0.0687173072353756,0.135004087725805,0.00151757928525701
"105","PFI0170w",0.0679755255341737,0.133546761094546,0.00150119749456677
"106","PFE0400w",0.0672811958372922,0.132182660097583,0.00148586365208198
"107","PFD0830w",0.0670286962214049,0.131686591761011,0.00148028735402808
"108","PF14_0380",0.0663318776876409,0.130317601120283,0.00146489854711804
"109","PF08_0068",0.0655641106492067,0.12880922291427,0.00144794288630555
"110","PF11_0321",0.0655390854396067,0.128760057635127,0.001447390220009
"111","PF13_0137",0.0654370223941334,0.128559541507545,0.00144513622069163
"112","MAL13P1.229",0.0651015628891011,0.127900487678636,0.0014377278047283
"113","MAL13P1.137",0.0647219237410022,0.127154637194732,0.00142934370863655
"114","PFL1335w",0.0626905780032346,0.12316379428752,0.0013844826927316
"115","PF14_0346",0.0625256420633296,0.122839756181314,0.00138084018437579
"116","PFF1335c",0.0624971130313224,0.12278370718733,0.00138021013832561
"117","PFE0715w",0.0593309483272334,0.116563364821454,0.00131028734649997
"118","PFI1105w",0.059009999811509,0.115932819718399,0.00130319939677242
"119","PFE1510c",0.0588516766782674,0.115621773330974,0.00129970292816719
"120","MAL8P1.86",0.0578218798041651,0.113598603432089,0.00127696050028352
"121","PFB0125c",0.0576518740185895,0.113264604954658,0.00127320602751759
"122","PFI1650w",0.0567911043816456,0.111573511047564,0.00125419646176249
"123","PFC0570c",0.0562797259133417,0.110568841534547,0.00124290298415624
"124","MAL7P1.134",0.0554240226739516,0.108887701224404,0.00122400530666173
"125","PFI1280c",0.0550762622000567,0.108204480542248,0.00121632523139908
"126","PF14_0392",0.0546646685032662,0.107395851191296,0.00120723543883704
"127","PF07_0037",0.0545344415643995,0.107140003432029,0.00120435945733023
"128","PFF0950w",0.0542705662553371,0.106621586066644,0.00119853193411905
"129","PF13_0077",0.0534717339817362,0.105052176165671,0.00118089021677615
"130","PF10_0046",0.0527296103007199,0.103594177670588,0.00116450087367295
"131","PFI0420c",0.051472121139382,0.101123676658812,0.00113673000226576
"132","PFE1445c",0.0510940552257995,0.100380916998737,0.00112838065008656
"133","PF07_0020",0.0506930609446952,0.0995931115785052,0.00111952493907295
"134","PF14_0038",0.0494204148068032,0.0970928327149087,0.00109141933520067
"135","PFF1080w",0.0490987467535236,0.0964608739867414,0.00108431549493064
"136","PFF0690c",0.0489271932566049,0.0961238348290755,0.00108052684191568
"137","PF14_0559",0.0488707165655757,0.0960128790239527,0.0010792795890786
"138","PFB0410c",0.0483430949271593,0.094976297690595,0.00106762739109344
"139","PF08_0012",0.0478968621111971,0.094099615284721,0.00105777261498025
"140","PFL1700c",0.0473910138198039,0.0931058105235233,0.00104660126791521
"141","PF14_0565",0.0473743973525673,0.0930731653124294,0.00104623430349988
"142","PFL1245w",0.0468315165991902,0.0920066054630667,0.001034245117386
"143","PF14_0231",0.0462528374198545,0.0908697149498146,0.00102146534514665
"144","PFE0515w",0.0459909244236929,0.0903551528033496,0.00101568115840382
"145","MAL13P1.165",0.0458112675214874,0.0900021934520348,0.00101171354668838
"146","PFA0130c",0.0449100224236727,0.088231580237651,0.000991810105380668
"147","PF14_0248",0.0442803150949576,0.0869944382880073,0.000977903407981143
"148","PF14_0564",0.0442760206077019,0.0869860012092344,0.000977808566882703
